,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,punta arenas,cl,-53.16,-70.91,39.2,80.0,75.0,23.04
1,busselton,au,-33.64,115.35,64.12,100.0,68.0,18.25
2,dudinka,ru,69.41,86.18,5.98,81.0,48.0,11.21
3,mahebourg,mu,-20.41,57.7,78.8,78.0,75.0,8.05
4,khandbari,np,27.38,87.21,38.92,76.0,0.0,1.59
5,bluff,nz,-23.58,149.07,59.26,79.0,0.0,3.15
6,port-gentil,ga,-0.72,8.78,86.0,74.0,20.0,10.29
7,meulaboh,id,4.14,96.13,78.97,100.0,68.0,4.27
8,ushuaia,ar,-54.81,-68.31,40.19,80.0,75.0,31.09
11,vaini,to,15.34,74.49,74.74,66.0,0.0,4.16
12,pichayevo,ru,51.79,41.22,42.52,67.0,32.0,9.75
13,sinnamary,gf,5.38,-52.96,79.51,100.0,92.0,6.96
14,roald,no,62.58,6.12,50.72,70.0,75.0,12.75
15,hobart,au,-42.88,147.33,50.0,93.0,40.0,2.48
16,georgetown,sh,6.8,-58.16,77.0,94.0,75.0,6.93
17,ostersund,se,63.18,14.64,44.6,56.0,0.0,8.05
18,stromness,gb,42.87,-79.55,56.84,33.0,20.0,4.7
19,arraial do cabo,br,-22.97,-42.02,81.23,65.0,40.0,17.22
20,denison,us,33.76,-96.54,56.1,67.0,40.0,14.99
21,boden,se,65.83,21.69,33.8,86.0,0.0,8.05
22,beruwala,lk,6.48,79.98,85.45,94.0,8.0,5.06
23,changping,cn,40.22,116.23,51.8,81.0,90.0,6.71
24,margate,za,-43.03,147.26,50.0,93.0,40.0,3.6
26,iqaluit,ca,63.75,-68.52,28.4,68.0,75.0,3.36
28,richards bay,za,-28.77,32.06,66.46,94.0,0.0,3.27
29,bredasdorp,za,-34.53,20.04,68.0,64.0,0.0,5.82
30,barrow,us,-38.31,-60.23,75.37,63.0,56.0,7.96
32,mar del plata,ar,-46.43,-67.52,57.01,44.0,0.0,23.29
33,sovetskoye,ru,45.57,34.49,55.84,57.0,0.0,8.97
34,matagami,ca,9.67,8.4,77.89,73.0,8.0,3.83
35,mouila,ga,-1.86,11.06,79.15,85.0,20.0,1.59
36,cherskiy,ru,68.75,161.3,10.66,47.0,0.0,1.92
37,dunedin,nz,-45.87,170.5,38.92,96.0,48.0,2.71
38,saskylakh,ru,71.97,114.09,7.78,74.0,0.0,13.67
39,poum,nc,41.28,20.71,64.4,55.0,0.0,8.05
40,hermanus,za,-34.42,19.24,59.17,70.0,0.0,3.38
